case_id,meter_id_hash,locality,consumer_category,monthly_loss_kwh,monthly_loss_inr_low,monthly_loss_inr_high,annual_loss_inr_low,annual_loss_inr_high,tariff_rate_used
ALT-V4-0001,MTR_000027_HASH,Domlur,COMMERCIAL,261.03,1461.77,2714.71,17541.22,32576.54,8.0
ALT-V4-0002,MTR_000063_HASH,KR Puram,COMMERCIAL,582.4,3261.44,6056.96,39137.28,72683.52,8.0
ALT-V4-0003,MTR_000102_HASH,Rajajinagar,COMMERCIAL,325.03,1820.17,3380.31,21842.02,40563.74,8.0
ALT-V4-0004,MTR_000250_HASH,Whitefield,RESIDENTIAL,283.72,1191.62,2213.02,14299.49,26556.19,6.0
ALT-V4-0005,MTR_000339_HASH,Whitefield,COMMERCIAL,92.78,519.57,964.91,6234.82,11578.94,8.0
ALT-V4-0006,MTR_000030_HASH,Domlur,COMMERCIAL,424.27,2375.91,4412.41,28510.94,52948.9,8.0
ALT-V4-0007,MTR_000273_HASH,Koramangala,COMMERCIAL,330.5,1850.8,3437.2,22209.6,41246.4,8.0
ALT-V4-0008,MTR_000123_HASH,Domlur,COMMERCIAL,219.26,1227.86,2280.3,14734.27,27363.65,8.0
ALT-V4-0009,MTR_000124_HASH,Indiranagar,COMMERCIAL,338.97,1898.23,3525.29,22778.78,42303.46,8.0
ALT-V4-0010,MTR_000132_HASH,Hebbal,RESIDENTIAL,162.01,680.44,1263.68,8165.3,15164.14,6.0
ALT-V4-0011,MTR_000060_HASH,Rajajinagar,COMMERCIAL,154.64,865.98,1608.26,10391.81,19299.07,8.0
ALT-V4-0012,MTR_000014_HASH,Koramangala,RESIDENTIAL,86.1,361.62,671.58,4339.44,8058.96,6.0
ALT-V4-0013,MTR_000080_HASH,Jayanagar,COMMERCIAL,264.14,1479.18,2747.06,17750.21,32964.67,8.0
ALT-V4-0014,MTR_000237_HASH,Koramangala,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0015,MTR_000009_HASH,Electronic City,COMMERCIAL,123.31,690.54,1282.42,8286.43,15389.09,8.0
ALT-V4-0016,MTR_000289_HASH,Rajajinagar,COMMERCIAL,162.6,910.56,1691.04,10926.72,20292.48,8.0
ALT-V4-0017,MTR_000220_HASH,Domlur,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0018,MTR_000081_HASH,KR Puram,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0019,MTR_000101_HASH,Koramangala,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0020,MTR_000196_HASH,Electronic City,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0021,MTR_000190_HASH,Koramangala,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0022,MTR_000119_HASH,Hebbal,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0023,MTR_000062_HASH,Hebbal,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0024,MTR_000202_HASH,Hebbal,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0025,MTR_000053_HASH,Indiranagar,COMMERCIAL,0.0,0.0,0.0,0.0,0.0,8.0
ALT-V4-0026,MTR_000024_HASH,Jayanagar,RESIDENTIAL,106.54,447.47,831.01,5369.62,9972.14,6.0
ALT-V4-0027,MTR_000173_HASH,Indiranagar,RESIDENTIAL,171.29,719.42,1336.06,8633.02,16032.74,6.0
ALT-V4-0028,MTR_000244_HASH,Electronic City,RESIDENTIAL,74.57,313.19,581.65,3758.33,6979.75,6.0
ALT-V4-0029,MTR_000151_HASH,Indiranagar,PUBLIC_LIGHTING,1.49,6.26,11.62,75.1,139.46,6.0
ALT-V4-0030,MTR_000083_HASH,Whitefield,RESIDENTIAL,0.0,0.0,0.0,0.0,0.0,6.0
AGGREGATE_PILOT_SUBDIVISION,ALL,ALL,ALL,4164.65,22082.03,41009.49,264984.4,492113.84,0.0
